fbgn	gene	pathway	role	GeneID
FBgn0026323	Tak1	TNF alpha signaling pathway	other	39659
FBgn0086356	tum	TNF alpha signaling pathway	other	36538
FBgn0032682	grnd	TNF alpha signaling pathway	receptor	35103
FBgn0030941	wgn	TNF alpha signaling pathway	receptor	32849
FBgn0000097	aop	TNF alpha signaling pathway	TF	33392
FBgn0001291	Jra	TNF alpha signaling pathway	TF	36057
FBgn0001297	kay	TNF alpha signaling pathway	TF	3772082
FBgn0284084	wg	WNT signaling pathway	ligand	34009
FBgn0031903	Wnt10	WNT signaling pathway	ligand	34011
FBgn0004360	Wnt2	WNT signaling pathway	ligand	35975
FBgn0010453	Wnt4	WNT signaling pathway	ligand	34007
FBgn0010194	Wnt5	WNT signaling pathway	ligand	32838
FBgn0031902	Wnt6	WNT signaling pathway	ligand	34010
FBgn0015589	Apc	WNT signaling pathway	other	44642
FBgn0026598	Apc2	WNT signaling pathway	other	42871
FBgn0026597	Axn	WNT signaling pathway	other	43565
FBgn0004132	boca	WNT signaling pathway	other	48986
FBgn0015024	CkIalpha	WNT signaling pathway	other	32221
FBgn0000499	dsh	WNT signaling pathway	other	32078
FBgn0002945	nkd	WNT signaling pathway	other	44843
FBgn0044028	Notum	WNT signaling pathway	other	39751
FBgn0003371	sgg	WNT signaling pathway	other	31248
FBgn0000119	arr	WNT signaling pathway	receptor	44279
FBgn0263930	dally	WNT signaling pathway	receptor	39013
FBgn0041604	dlp	WNT signaling pathway	receptor	39596
FBgn0001085	fz	WNT signaling pathway	receptor	45307
FBgn0016797	fz2	WNT signaling pathway	receptor	40090
FBgn0027343	fz3	WNT signaling pathway	receptor	31023
FBgn0027342	fz4	WNT signaling pathway	receptor	31659
FBgn0000117	arm	WNT signaling pathway	TF	31151
FBgn0039907	lgs	WNT signaling pathway	TF	43791
FBgn0261617	nej	WNT signaling pathway	TF	43856
FBgn0085432	pan	WNT signaling pathway	TF	43769
FBgn0043900	pygo	WNT signaling pathway	TF	43718
FBgn0020224	Cbl	EGFR signaling pathway	other	38961
FBgn0286070	cnk	EGFR signaling pathway	other	36952
FBgn0000382	csw	EGFR signaling pathway	other	45278
FBgn0010583	dock	EGFR signaling pathway	other	33262
FBgn0016794	dos	EGFR signaling pathway	other	38321
FBgn0004638	drk	EGFR signaling pathway	other	36497
FBgn0010269	Dsor1	EGFR signaling pathway	other	31872
FBgn0015399	kek1	EGFR signaling pathway	other	34688
FBgn0015402	ksr	EGFR signaling pathway	other	40660
FBgn0083992	Mkp	EGFR signaling pathway	other	4379907
FBgn0036844	Mkp3	EGFR signaling pathway	other	40081
FBgn0026252	msk	EGFR signaling pathway	other	44747
FBgn0016641	PTP-ER	EGFR signaling pathway	other	37461
